respondent_id,CASE_SIDEWALK,CASE_KNIFE,CASE_SAMARITAN,CASE_NDA,CASE_SELFDEFENSE
1,1,2,1,1,2
2,2,1,2,1,1
3,2,1,1,1,2
4,2,2,2,1,2
5,1,2,1,1,1
6,1,1,2,1,2
7,1,1,1,1,2
8,2,2,1,1,2
9,2,1,2,1,2
10,2,1,1,2,1
11,1,1,1,1,2
12,2,2,2,2,2
13,2,2,2,2,1
14,1,1,1,1,2
15,1,2,1,2,2
16,1,1,1,2,2
17,1,1,1,1,2
18,1,2,1,1,1
19,1,2,1,2,1
20,1,2,2,2,1
21,2,2,2,1,2
22,1,1,2,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,2,2
26,2,1,1,1,2
27,1,2,1,1,1
28,1,1,2,2,1
29,2,2,1,1,2
30,1,2,1,1,2
31,2,2,1,2,1
32,1,1,2,2,2
33,1,1,1,1,1
34,2,1,1,2,1
35,2,1,1,1,2
36,2,2,2,1,1
37,1,1,1,2,2
38,1,1,2,1,1
39,2,2,2,1,2
40,1,1,1,1,2
41,1,2,1,1,1
42,1,2,2,1,2
43,1,2,1,1,1
44,2,1,1,1,2
45,1,1,2,1,1
46,2,2,2,2,1
47,1,1,2,2,1
48,1,2,2,2,2
49,1,2,1,2,2
50,1,2,1,1,2
51,2,1,2,1,1
52,2,1,1,2,2
53,2,2,1,2,1
54,2,1,2,2,2
55,2,1,1,1,1
56,2,1,1,1,1
57,1,2,1,1,1
58,1,2,1,1,2
59,1,1,1,2,2
60,1,1,1,2,1
61,1,2,1,1,2
62,1,2,1,2,2
63,2,1,2,2,2
64,1,1,1,1,1
65,1,2,2,1,1
66,1,2,1,1,2
67,1,2,1,1,1
68,2,2,2,1,1
69,1,1,1,1,2
70,2,1,2,1,2
71,2,2,1,1,1
72,1,2,2,2,1
73,1,2,1,1,2
74,2,2,2,2,1
75,2,1,1,1,1
76,2,1,2,2,1
77,2,2,1,1,2
78,1,2,1,1,2
79,1,2,2,2,1
80,1,2,1,2,1
81,2,2,1,2,1
82,2,1,1,1,2
83,1,1,1,1,1
84,1,1,1,2,1
85,1,1,1,2,2
86,1,1,2,2,1
87,2,1,1,2,2
88,2,1,1,1,1
89,2,1,2,2,1
90,1,1,2,1,1
91,1,1,1,1,2
92,2,1,1,1,2
93,2,2,1,1,2
94,2,1,1,1,1
95,2,1,1,1,2
96,1,1,1,2,1
97,1,2,1,1,1
98,1,1,1,2,2
99,1,2,2,1,1
100,1,1,2,1,1
101,1,1,1,2,1
102,2,1,1,1,1
103,1,1,1,1,1
104,1,2,2,1,2
105,2,2,1,1,1
106,1,2,1,2,2
107,1,1,2,1,2
108,2,1,2,2,1
109,1,2,2,1,1
110,1,1,2,2,1
111,1,1,1,2,2
112,1,1,1,2,1
113,2,1,2,1,2
114,2,2,2,1,1
115,2,2,1,1,2
116,2,2,1,2,1
117,2,1,1,2,1
118,1,1,2,2,2
119,2,1,2,1,2
120,1,1,1,2,1
121,2,1,1,2,2
122,2,2,1,1,2
123,1,2,2,1,2
124,1,1,2,2,2
125,1,2,2,2,1
126,1,2,1,2,1
127,2,1,1,1,1
128,2,2,1,2,2
129,1,1,1,1,2
130,1,1,2,1,1
131,1,1,2,1,1
132,1,2,2,2,2
133,1,1,2,2,2
134,1,1,1,2,2
135,2,1,2,1,1
136,1,1,2,2,1
137,1,2,2,1,1
138,2,2,1,2,2
139,1,1,1,1,1
140,2,1,1,1,2
141,2,1,2,1,1
142,1,1,1,1,2
143,1,1,1,2,2
144,1,1,1,1,2
145,1,1,1,1,1
146,1,2,1,2,1
147,2,2,1,1,1
148,1,1,1,2,2
149,1,1,1,2,2
150,1,2,2,2,2
151,2,1,1,1,2
152,1,2,2,2,2
153,1,2,1,2,1
154,1,1,1,1,2
155,2,1,2,1,1
156,1,2,1,2,1
157,2,1,1,2,2
158,2,1,1,2,1
159,1,2,2,2,1
160,2,1,1,2,2
161,1,1,2,1,1
162,2,2,1,1,2
163,2,1,1,1,1
164,1,1,1,2,1
165,1,2,1,1,1
166,2,1,1,2,1
167,1,2,1,2,2
168,1,2,1,2,1
169,1,1,2,1,2
170,2,1,1,2,2
171,2,1,1,1,2
172,1,1,2,2,2
173,1,1,1,1,2
174,1,2,1,1,1
175,2,1,2,2,1
176,1,1,2,1,1
177,2,2,1,1,2
178,1,1,2,2,1
179,2,2,1,2,2
180,1,1,1,2,2
181,1,1,1,2,1
182,1,2,2,2,2
183,2,2,1,1,1
184,2,2,1,1,1
185,1,2,1,1,2
186,2,2,1,2,2
187,2,1,1,2,2
188,2,1,1,1,1
189,1,2,1,1,1
190,1,2,1,2,2
191,1,2,1,1,2
192,2,1,1,2,2
193,2,1,1,1,1
194,2,2,1,2,2
195,1,1,2,1,1
196,1,2,1,2,1
197,2,2,1,2,2
198,2,1,1,2,1
199,2,2,1,2,2
200,2,2,1,2,1
